"gen","zone","age","emp","edu","pastvote","nowvote"
"femmina","sud-isole","(50,65]","occupato","superiori","CSX","M5S"
"femmina","centro","(65,95]","inattivo","nessuna / elementari / medie","M5S","M5S"
"maschio","nord-ovest","(50,65]","occupato","superiori","M5S","M5S"
"femmina","nord-est","(65,95]","inattivo","laurea","altri","altri"
"femmina","sud-isole","(50,65]","inattivo","superiori","M5S","M5S"
"femmina","centro","(50,65]","occupato","laurea","M5S","CSX"
"maschio","centro","(50,65]","occupato","superiori","CSX","CSX"
"maschio","nord-ovest","(65,95]","inattivo","superiori","CDX","CDX"
"femmina","nord-ovest","(65,95]","inattivo","superiori","altri","CSX"
"femmina","sud-isole","(65,95]","inattivo","superiori","CDX","CDX"
"maschio","nord-ovest","(50,65]","inattivo","laurea","M5S","M5S"
"maschio","nord-ovest","(65,95]","inattivo","superiori","CSX","CSX"
"maschio","centro","(50,65]","occupato","laurea","CDX","altri"
"maschio","nord-ovest","(65,95]","inattivo","superiori","CSX","CDX"
"maschio","nord-est","(50,65]","occupato","superiori","CDX","CDX"
"maschio","centro","(65,95]","inattivo","superiori","altri","altri"
"maschio","centro","(65,95]","occupato","laurea","CDX","CDX"
"maschio","sud-isole","(50,65]","occupato","superiori","M5S","CSX"
"femmina","nord-ovest","(50,65]","occupato","laurea","M5S","M5S"
"maschio","nord-ovest","(65,95]","inattivo","nessuna / elementari / medie","CDX","CDX"
"maschio","centro","(50,65]","occupato","laurea","M5S","M5S"
"femmina","sud-isole","(65,95]","occupato","nessuna / elementari / medie","altri","M5S"
"maschio","nord-ovest","(65,95]","inattivo","nessuna / elementari / medie","CSX","CSX"
"femmina","sud-isole","(50,65]","inattivo","superiori","M5S","M5S"
"femmina","centro","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","centro","(50,65]","occupato","superiori","altri","CSX"
"femmina","nord-ovest","(50,65]","inattivo","superiori","CSX","CSX"
"maschio","sud-isole","(65,95]","inattivo","superiori","CDX","CDX"
"maschio","centro","(65,95]","inattivo","nessuna / elementari / medie","altri","altri"
"femmina","centro","(50,65]","inattivo","superiori","altri","altri"
"femmina","sud-isole","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","centro","(65,95]","inattivo","superiori","CDX","CDX"
"femmina","nord-est","(65,95]","inattivo","laurea","M5S","M5S"
"femmina","centro","(50,65]","occupato","superiori","M5S","M5S"
"femmina","centro","(50,65]","occupato","superiori","M5S","M5S"
"maschio","nord-est","(50,65]","occupato","superiori","altri","altri"
"maschio","centro","(65,95]","inattivo","superiori","CDX","CDX"
"maschio","sud-isole","(65,95]","inattivo","nessuna / elementari / medie","CDX","CDX"
"femmina","centro","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","nord-ovest","(65,95]","inattivo","laurea","CSX","CSX"
"femmina","sud-isole","(65,95]","occupato","laurea","M5S","CSX"
"femmina","nord-ovest","(65,95]","inattivo","nessuna / elementari / medie","M5S","M5S"
"maschio","sud-isole","(65,95]","inattivo","nessuna / elementari / medie","M5S","M5S"
"femmina","sud-isole","(50,65]","inattivo","laurea","M5S","M5S"
"maschio","nord-ovest","(65,95]","occupato","laurea","CDX","CDX"
"maschio","nord-ovest","(65,95]","inattivo","superiori","CSX","CSX"
"femmina","nord-ovest","(50,65]","occupato","superiori","CDX","CDX"
"femmina","nord-est","(65,95]","inattivo","superiori","CSX","CSX"
"femmina","nord-ovest","(65,95]","occupato","superiori","CDX","altri"
"maschio","sud-isole","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","sud-isole","(65,95]","inattivo","laurea","altri","M5S"
"maschio","nord-ovest","(40,50]","occupato","superiori","CDX","CDX"
"femmina","centro","(50,65]","occupato","laurea","CSX","CSX"
"maschio","centro","(65,95]","inattivo","superiori","CDX","CDX"
"maschio","sud-isole","(50,65]","occupato","laurea","CDX","CDX"
"maschio","nord-ovest","(65,95]","occupato","laurea","CDX","CDX"
"maschio","nord-ovest","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","centro","(65,95]","occupato","superiori","CDX","altri"
"maschio","nord-est","(50,65]","inattivo","superiori","CSX","CSX"
"femmina","nord-ovest","(65,95]","inattivo","nessuna / elementari / medie","M5S","M5S"
"maschio","centro","(50,65]","inattivo","superiori","CSX","CSX"
"maschio","nord-ovest","(40,50]","occupato","superiori","M5S","CDX"
"femmina","sud-isole","(65,95]","inattivo","superiori","CSX","CSX"
"femmina","nord-ovest","(65,95]","inattivo","laurea","altri","Az"
"femmina","nord-est","(50,65]","occupato","laurea","M5S","M5S"
"femmina","centro","(50,65]","inattivo","superiori","CSX","CSX"
"maschio","nord-ovest","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","centro","(50,65]","inattivo","laurea","altri","CSX"
"femmina","centro","(65,95]","inattivo","laurea","CSX","CSX"
"femmina","nord-ovest","(50,65]","occupato","laurea","CSX","Az"
"femmina","nord-ovest","(50,65]","inattivo","laurea","M5S","M5S"
"maschio","sud-isole","(65,95]","inattivo","superiori","M5S","M5S"
"maschio","nord-est","(65,95]","inattivo","laurea","CDX","CDX"
"femmina","centro","(40,50]","inattivo","nessuna / elementari / medie","M5S","M5S"
"maschio","nord-ovest","(65,95]","inattivo","nessuna / elementari / medie","CDX","CDX"
"maschio","centro","(65,95]","inattivo","superiori","CSX","CSX"
"femmina","sud-isole","(40,50]","occupato","superiori","M5S","M5S"
"femmina","nord-est","(65,95]","inattivo","nessuna / elementari / medie","CSX","CSX"
"maschio","nord-ovest","(50,65]","disoccupato","nessuna / elementari / medie","M5S","M5S"
"maschio","sud-isole","(50,65]","inattivo","superiori","CSX","CSX"
"maschio","centro","(50,65]","occupato","superiori","altri","CSX"
"maschio","sud-isole","(50,65]","occupato","superiori","CSX","CSX"
"femmina","sud-isole","(65,95]","inattivo","laurea","M5S","M5S"
"femmina","sud-isole","(65,95]","inattivo","superiori","CSX","CSX"
"maschio","nord-est","(65,95]","inattivo","superiori","M5S","CDX"
"maschio","nord-ovest","(65,95]","occupato","laurea","altri","CSX"
"maschio","nord-est","(40,50]","occupato","nessuna / elementari / medie","CDX","CDX"
"femmina","sud-isole","(30,40]","occupato","laurea","M5S","M5S"
"femmina","nord-ovest","(50,65]","occupato","laurea","M5S","Az"
"maschio","centro","(50,65]","occupato","laurea","CDX","CDX"
"maschio","sud-isole","(65,95]","inattivo","superiori","CSX","CSX"
"femmina","nord-ovest","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","sud-isole","(20,30]","inattivo","superiori","altri","altri"
"femmina","nord-ovest","(50,65]","occupato","nessuna / elementari / medie","M5S","M5S"
"maschio","nord-ovest","(65,95]","inattivo","superiori","CSX","CSX"
"maschio","nord-ovest","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","nord-est","(65,95]","inattivo","superiori","CSX","CSX"
"maschio","nord-est","(50,65]","occupato","superiori","M5S","M5S"
"maschio","centro","(65,95]","inattivo","laurea","CSX","CSX"
"maschio","nord-ovest","(50,65]","occupato","superiori","M5S","M5S"
"maschio","nord-est","(40,50]","occupato","superiori","CDX","altri"
"femmina","sud-isole","(65,95]","inattivo","laurea","M5S","altri"
"maschio","sud-isole","(65,95]","inattivo","laurea","CSX","CSX"
"femmina","nord-est","(65,95]","inattivo","nessuna / elementari / medie","altri","CSX"
"maschio","centro","(50,65]","occupato","laurea","altri","CSX"
"maschio","centro","(50,65]","inattivo","superiori","altri","altri"
"maschio","nord-ovest","(65,95]","inattivo","superiori","CSX","CSX"
"femmina","nord-ovest","(65,95]","inattivo","superiori","CDX","CDX"
"femmina","nord-ovest","(65,95]","inattivo","laurea","M5S","M5S"
